_dt,location,trend,tweet_volume
2017-06-16T12:00:13.101Z,Nashville,Joss Whedon,
2017-06-16T12:00:13.119Z,Richmond,Joss Whedon,
2017-06-16T12:00:13.130Z,Los Angeles,Joss Whedon,
2017-06-16T12:00:13.139Z,Milwaukee,Joss Whedon,
2017-06-16T12:00:13.151Z,Columbus,Joss Whedon,
2017-06-16T12:00:13.189Z,Kansas City,Joss Whedon,
2017-06-16T12:00:13.199Z,Harrisburg,Joss Whedon,
2017-06-16T12:00:13.205Z,Birmingham,Joss Whedon,
2017-06-16T12:00:13.215Z,Albuquerque,Joss Whedon,
2017-06-16T12:00:13.253Z,New York,Joss Whedon,
2017-06-16T12:00:13.262Z,Austin,Joss Whedon,
2017-06-16T12:00:13.347Z,New Haven,Joss Whedon,
2017-06-16T12:00:13.363Z,Norfolk,Joss Whedon,
2017-06-16T12:00:13.406Z,Dallas-Ft. Worth,Joss Whedon,
2017-06-16T12:00:13.461Z,Long Beach,Joss Whedon,
2017-06-16T12:00:13.466Z,Boston,Joss Whedon,
2017-06-16T12:00:13.480Z,Mesa,Joss Whedon,
2017-06-16T12:00:13.533Z,Cincinnati,Joss Whedon,
2017-06-16T12:00:13.593Z,Honolulu,Joss Whedon,
2017-06-16T12:00:13.625Z,San Antonio,Joss Whedon,
2017-06-16T12:00:13.636Z,Charlotte,Joss Whedon,
2017-06-16T12:00:13.655Z,Oklahoma City,Joss Whedon,
2017-06-16T12:00:13.778Z,Louisville,Joss Whedon,
2017-06-16T12:00:13.804Z,Phoenix,Joss Whedon,
2017-06-16T12:00:13.883Z,United States,Joss Whedon,
2017-06-16T12:00:13.887Z,Indianapolis,Joss Whedon,
2017-06-16T12:00:13.905Z,Colorado Springs,Joss Whedon,
2017-06-16T12:00:14.011Z,New Orleans,Joss Whedon,
2017-06-16T12:00:14.033Z,Tallahassee,Joss Whedon,
2017-06-16T12:00:14.045Z,Tampa,Joss Whedon,
2017-06-16T12:00:14.113Z,Philadelphia,Joss Whedon,
2017-06-16T12:00:14.210Z,San Diego,Joss Whedon,
2017-06-16T12:00:14.225Z,Virginia Beach,Joss Whedon,
2017-06-16T12:00:14.239Z,Las Vegas,Joss Whedon,
2017-06-16T12:00:14.299Z,Miami,Joss Whedon,
2017-06-16T12:00:14.315Z,San Francisco,Joss Whedon,
2017-06-16T12:00:14.373Z,Raleigh,Joss Whedon,
2017-06-16T12:00:14.374Z,St. Louis,Joss Whedon,
2017-06-16T12:00:14.402Z,Pittsburgh,Joss Whedon,
2017-06-16T12:00:14.459Z,Minneapolis,Joss Whedon,
2017-06-16T12:00:14.551Z,Denver,Joss Whedon,
2017-06-16T12:00:14.551Z,Fresno,Joss Whedon,
2017-06-16T12:00:14.643Z,Portland,Joss Whedon,
2017-08-20T21:00:10Z,Harrisburg,Joss Whedon,
2017-08-20T21:00:10.212Z,Philadelphia,Joss Whedon,
2017-08-20T21:00:10.262Z,Miami,Joss Whedon,
2017-08-20T21:00:10.328Z,Indianapolis,Joss Whedon,
2017-08-20T21:00:10.399Z,Baltimore,Joss Whedon,
2017-08-20T21:00:10.573Z,Long Beach,Joss Whedon,
2017-08-20T21:00:10.627Z,Charlotte,Joss Whedon,
2017-08-20T21:00:10.679Z,Salt Lake City,Joss Whedon,
2017-08-20T21:00:10.701Z,El Paso,Joss Whedon,
2017-08-20T21:00:10.767Z,Fresno,Joss Whedon,
2017-08-20T21:00:10.771Z,Honolulu,Joss Whedon,
2017-08-20T21:00:10.859Z,Baton Rouge,Joss Whedon,
2017-08-20T21:00:11.036Z,Dallas-Ft. Worth,Joss Whedon,
2017-08-20T21:00:11.087Z,Atlanta,Joss Whedon,
2017-08-20T21:00:11.145Z,New York,Joss Whedon,
2017-08-20T21:00:11.223Z,Omaha,Joss Whedon,
2017-08-20T21:00:11.235Z,Cincinnati,Joss Whedon,
2017-08-20T21:00:11.291Z,Albuquerque,Joss Whedon,
2017-08-20T21:00:11.401Z,Louisville,Joss Whedon,
2017-08-20T21:00:11.550Z,Minneapolis,Joss Whedon,
2017-08-20T21:00:11.674Z,Sacramento,Joss Whedon,
2017-08-20T21:00:11.711Z,Tallahassee,Joss Whedon,
2017-08-20T21:00:11.782Z,Orlando,Joss Whedon,
2017-08-20T21:00:11.838Z,Richmond,Joss Whedon,
2017-08-20T21:00:11.857Z,Jacksonville,Joss Whedon,
2017-08-20T21:00:11.943Z,Tucson,Joss Whedon,
2017-08-20T21:00:12.060Z,Raleigh,Joss Whedon,
2017-08-20T21:00:12.081Z,New Orleans,Joss Whedon,
2017-08-20T21:00:12.107Z,St. Louis,Joss Whedon,
2017-08-20T21:00:12.169Z,Las Vegas,Joss Whedon,
2017-08-20T21:00:12.182Z,Portland,Joss Whedon,
2017-08-20T21:00:12.200Z,Houston,Joss Whedon,
2017-08-20T21:00:12.212Z,Boston,Joss Whedon,
2017-08-20T21:00:12.283Z,Tampa,Joss Whedon,
2017-08-20T21:00:12.391Z,San Antonio,Joss Whedon,
2017-08-20T21:00:12.481Z,Nashville,Joss Whedon,
2017-08-20T21:00:12.482Z,Milwaukee,Joss Whedon,
2017-08-20T21:00:12.576Z,Los Angeles,Joss Whedon,
2017-08-20T21:00:12.685Z,Greensboro,Joss Whedon,
2017-08-20T21:00:12.787Z,Denver,Joss Whedon,
2017-08-20T21:00:12.798Z,Seattle,Joss Whedon,
2017-08-20T21:00:12.843Z,San Diego,Joss Whedon,
2017-08-20T21:00:12.881Z,Norfolk,Joss Whedon,
2017-08-20T21:00:12.900Z,Birmingham,Joss Whedon,
2017-08-20T21:00:12.972Z,Detroit,Joss Whedon,
2017-08-20T21:00:13.001Z,Columbus,Joss Whedon,
2017-08-20T21:00:13.051Z,Providence,Joss Whedon,
