_dt,location,trend,tweet_volume
2017-08-21T10:00:11.597Z,Richmond,Joss Whedon,27639
2017-08-21T10:00:11.597Z,Salt Lake City,Joss Whedon,27639
2017-08-21T10:00:11.680Z,Oklahoma City,Joss Whedon,27639
2017-08-21T10:00:11.682Z,Colorado Springs,Joss Whedon,27639
2017-08-21T10:00:11.725Z,Miami,Joss Whedon,27639
2017-08-21T10:00:11.733Z,Charlotte,Joss Whedon,27639
2017-08-21T10:00:11.742Z,Los Angeles,Joss Whedon,27639
2017-08-21T10:00:11.756Z,Austin,Joss Whedon,27639
2017-08-21T10:00:11.786Z,Norfolk,Joss Whedon,27639
2017-08-21T10:00:11.806Z,Milwaukee,Joss Whedon,27639
2017-08-21T10:00:11.822Z,Birmingham,Joss Whedon,27639
2017-08-21T10:00:11.834Z,Chicago,Joss Whedon,27639
2017-08-21T10:00:11.850Z,Louisville,Joss Whedon,27639
2017-08-21T10:00:11.880Z,Raleigh,Joss Whedon,27639
2017-08-21T10:00:11.899Z,Boston,Joss Whedon,27639
2017-08-21T10:00:11.907Z,Long Beach,Joss Whedon,27639
2017-08-21T10:00:11.921Z,Seattle,Joss Whedon,27639
2017-08-21T10:00:11.934Z,Mesa,Joss Whedon,27726
2017-08-21T10:00:11.993Z,Virginia Beach,Joss Whedon,27639
2017-08-21T10:00:12.027Z,Nashville,Joss Whedon,27639
2017-08-21T10:00:12.038Z,San Jose,Joss Whedon,27639
2017-08-21T10:00:12.063Z,Harrisburg,Joss Whedon,27639
2017-08-21T10:00:12.146Z,Cincinnati,Joss Whedon,27726
2017-08-21T10:00:12.154Z,United States,Joss Whedon,27639
2017-08-21T10:00:12.242Z,United Kingdom,Joss Whedon,27639
2017-08-21T10:00:12.275Z,El Paso,Joss Whedon,27639
2017-08-21T10:00:12.319Z,San Antonio,Joss Whedon,27639
2017-08-21T10:00:12.334Z,Denver,Joss Whedon,27639
2017-08-21T10:00:12.337Z,Phoenix,Joss Whedon,27639
2017-08-21T10:00:12.399Z,Atlanta,Joss Whedon,27639
2017-08-21T10:00:12.455Z,Greensboro,Joss Whedon,27639
2017-08-21T10:00:12.560Z,Fresno,Joss Whedon,27639
2017-08-21T10:00:12.587Z,Tampa,Joss Whedon,27639
2017-08-21T10:00:12.634Z,Providence,Joss Whedon,27639
2017-08-21T10:00:12.674Z,Memphis,Joss Whedon,27639
2017-08-21T10:00:12.687Z,Washington,Joss Whedon,27639
2017-08-21T10:00:12.690Z,Tallahassee,Joss Whedon,27639
2017-08-21T10:00:12.769Z,Pittsburgh,Joss Whedon,27639
2017-08-21T10:00:12.777Z,Omaha,Joss Whedon,27726
2017-08-21T10:00:12.788Z,San Francisco,Joss Whedon,27639
2017-08-21T10:00:12.862Z,New Orleans,Joss Whedon,27639
2017-08-21T10:00:12.863Z,Philadelphia,Joss Whedon,27639
2017-08-21T10:00:12.939Z,Indianapolis,Joss Whedon,27726
2017-08-21T10:00:12.946Z,Jacksonville,Joss Whedon,27639
2017-08-21T10:00:13.186Z,Tucson,Joss Whedon,27639
2017-08-21T10:00:13.262Z,Canada,Joss Whedon,27639
2017-08-21T10:00:13.347Z,St. Louis,Joss Whedon,27639
2017-08-21T10:00:13.364Z,San Diego,Joss Whedon,27726
2017-08-21T11:00:06.445Z,Calgary,Joss Whedon,28624
2017-08-21T11:00:06.923Z,Brighton,Joss Whedon,28531
2017-08-21T11:00:07.009Z,Bournemouth,Joss Whedon,28531
2017-08-21T11:00:07.095Z,Hull,Joss Whedon,28531
2017-08-21T11:00:07.107Z,Vancouver,Joss Whedon,28531
2017-08-21T11:00:07.386Z,Cardiff,Joss Whedon,28531
2017-08-21T11:00:07.471Z,Edmonton,Joss Whedon,28531
2017-08-21T11:00:07.585Z,Manchester,Joss Whedon,28531
2017-08-21T11:00:07.668Z,Swansea,Joss Whedon,28531
2017-08-21T11:00:07.692Z,Belfast,Joss Whedon,28531
2017-08-21T11:00:07.791Z,Winnipeg,Joss Whedon,28531
2017-08-21T11:00:08.048Z,Leeds,Joss Whedon,28531
2017-08-21T11:00:08.074Z,Edinburgh,Joss Whedon,28624
2017-08-21T11:00:08.250Z,Quebec,Joss Whedon,28531
2017-08-21T11:00:08.295Z,Blackpool,Joss Whedon,28531
2017-08-21T11:00:08.370Z,Leicester,Joss Whedon,28531
2017-08-21T11:00:08.416Z,Canberra,Joss Whedon,28531
2017-08-21T11:00:08.472Z,Montreal,Joss Whedon,28531
2017-08-21T11:00:08.504Z,Perth,Joss Whedon,28531
2017-08-21T11:00:08.523Z,Derby,Joss Whedon,28624
2017-08-21T11:00:08.580Z,Stoke-on-Trent,Joss Whedon,28531
2017-08-21T11:00:08.635Z,Birmingham,Joss Whedon,28531
2017-08-21T11:00:08.650Z,Glasgow,Joss Whedon,28531
2017-08-21T11:00:08.682Z,Liverpool,Joss Whedon,28531
2017-08-21T11:00:08.768Z,Bristol,Joss Whedon,28531
2017-08-21T11:00:08.889Z,Toronto,Joss Whedon,28531
2017-08-21T11:00:08.991Z,Preston,Joss Whedon,28531
2017-08-21T11:00:09.085Z,Nottingham,Joss Whedon,28531
2017-08-21T11:00:09.178Z,Portsmouth,Joss Whedon,28624
2017-08-21T11:00:09.203Z,Middlesbrough,Joss Whedon,28531
2017-08-21T11:00:09.449Z,Sheffield,Joss Whedon,28624
2017-08-21T11:00:09.524Z,London,Joss Whedon,28624
2017-08-21T11:00:09.570Z,Plymouth,Joss Whedon,28531
2017-08-21T11:00:09.836Z,Newcastle,Joss Whedon,28531
2017-08-21T11:00:09.979Z,Darwin,Joss Whedon,28531
2017-08-21T11:00:10.386Z,Ottawa,Joss Whedon,28531
2017-08-21T11:00:10.405Z,Coventry,Joss Whedon,28531
2017-08-21T11:00:10.582Z,Sydney,Joss Whedon,28531
2017-08-21T11:00:10.590Z,Adelaide,Joss Whedon,28531
2017-08-21T11:00:11.582Z,Melbourne,Joss Whedon,28531
2017-08-21T11:00:12.462Z,Brisbane,Joss Whedon,28531
2017-08-21T11:00:12.824Z,Australia,Joss Whedon,28531
2017-08-21T11:00:13.982Z,United Kingdom,Joss Whedon,28531
2017-08-21T11:00:15.043Z,Canada,Joss Whedon,28531
2017-08-21T12:00:04.901Z,Quebec,Joss Whedon,29429
2017-08-21T12:00:05.482Z,Toronto,Joss Whedon,29429
2017-08-21T12:00:07.147Z,Calgary,Joss Whedon,29429
2017-08-21T12:00:08.680Z,Ottawa,Joss Whedon,29429
2017-08-21T12:00:08.932Z,Montreal,Joss Whedon,29429
2017-08-21T12:00:09.667Z,Winnipeg,Joss Whedon,29429
2017-08-21T12:00:09.832Z,Edmonton,Joss Whedon,29429
2017-08-21T12:00:10.076Z,Vancouver,Joss Whedon,29429
2017-08-21T12:00:10.977Z,Canada,Joss Whedon,29429
2017-08-21T13:00:04.645Z,Edmonton,Joss Whedon,30440
2017-08-21T13:00:05.231Z,Calgary,Joss Whedon,30440
2017-08-21T13:00:05.470Z,Vancouver,Joss Whedon,30440
2017-08-21T13:00:06.495Z,Winnipeg,Joss Whedon,30440
2017-08-21T13:00:06.598Z,Montreal,Joss Whedon,30440
2017-08-21T13:00:06.707Z,Quebec,Joss Whedon,30440
2017-08-21T13:00:09.683Z,Toronto,Joss Whedon,30440
2017-08-21T13:00:09.740Z,Ottawa,Joss Whedon,30440
2017-08-21T13:00:11.339Z,Canada,Joss Whedon,30562
2017-08-21T14:00:04.822Z,Winnipeg,Joss Whedon,31637
2017-08-21T14:00:05.124Z,Edmonton,Joss Whedon,31637
2017-08-21T14:00:06.250Z,Montreal,Joss Whedon,31637
2017-08-21T14:00:06.448Z,Vancouver,Joss Whedon,31637
2017-08-21T14:00:07.259Z,Calgary,Joss Whedon,31637
2017-08-21T14:00:09.047Z,Toronto,Joss Whedon,31637
2017-08-21T14:00:09.060Z,Ottawa,Joss Whedon,31637
2017-08-21T14:00:09.089Z,Quebec,Joss Whedon,31637
2017-08-21T14:00:12.070Z,Canada,Joss Whedon,31637
2017-08-21T15:00:04.989Z,Quebec,Joss Whedon,32851
2017-08-21T15:00:05.087Z,Calgary,Joss Whedon,32889
2017-08-21T15:00:05.209Z,Winnipeg,Joss Whedon,32889
2017-08-21T15:00:05.886Z,Vancouver,Joss Whedon,32889
2017-08-21T15:00:05.966Z,Toronto,Joss Whedon,32889
2017-08-21T15:00:06.196Z,Montreal,Joss Whedon,32851
2017-08-21T15:00:08.747Z,Edmonton,Joss Whedon,32889
2017-08-21T15:00:09.372Z,Ottawa,Joss Whedon,32889
2017-08-21T15:00:13.496Z,Canada,Joss Whedon,32889
2017-08-21T16:00:03.899Z,Montreal,Joss Whedon,34512
2017-08-21T16:00:04.207Z,Winnipeg,Joss Whedon,34512
2017-08-21T16:00:04.508Z,Quebec,Joss Whedon,34388
2017-08-21T16:00:06.319Z,Toronto,Joss Whedon,34512
2017-08-21T16:00:06.580Z,Vancouver,Joss Whedon,34512
2017-08-21T16:00:07.033Z,Ottawa,Joss Whedon,34512
2017-08-21T16:00:08.139Z,Calgary,Joss Whedon,34512
2017-08-21T16:00:09.628Z,Edmonton,Joss Whedon,34512
2017-08-21T16:00:11.793Z,Canada,Joss Whedon,34512
2017-08-21T17:00:04.838Z,Ottawa,Joss Whedon,36080
2017-08-21T17:00:04.928Z,Calgary,Joss Whedon,36080
2017-08-21T17:00:05.654Z,Edmonton,Joss Whedon,36080
2017-08-21T17:00:06.755Z,Winnipeg,Joss Whedon,36080
2017-08-21T17:00:07.295Z,Quebec,Joss Whedon,36080
2017-08-21T17:00:08.408Z,Canberra,Joss Whedon,36080
2017-08-21T17:00:08.423Z,Vancouver,Joss Whedon,36080
2017-08-21T17:00:08.889Z,Toronto,Joss Whedon,36080
2017-08-21T17:00:09.309Z,Montreal,Joss Whedon,36080
2017-08-21T17:00:09.508Z,Darwin,Joss Whedon,36080
2017-08-21T17:00:09.940Z,Brisbane,Joss Whedon,36080
2017-08-21T17:00:10.252Z,Sydney,Joss Whedon,36080
2017-08-21T17:00:10.561Z,Canada,Joss Whedon,36080
2017-08-21T17:00:10.946Z,Perth,Joss Whedon,36080
2017-08-21T17:00:11.679Z,Adelaide,Joss Whedon,36080
2017-08-21T17:00:12.465Z,Melbourne,Joss Whedon,36080
2017-08-21T17:00:14.308Z,Australia,Joss Whedon,36080
2017-08-21T18:00:05.605Z,Montreal,Joss Whedon,37233
2017-08-21T18:00:05.707Z,Edmonton,Joss Whedon,37233
2017-08-21T18:00:06.058Z,Quebec,Joss Whedon,37233
2017-08-21T18:00:06.311Z,Vancouver,Joss Whedon,37233
2017-08-21T18:00:06.775Z,Canberra,Joss Whedon,37233
2017-08-21T18:00:07.757Z,Darwin,Joss Whedon,37233
2017-08-21T18:00:07.779Z,Adelaide,Joss Whedon,37233
2017-08-21T18:00:07.817Z,Perth,Joss Whedon,37233
2017-08-21T18:00:08.271Z,Melbourne,Joss Whedon,37233
2017-08-21T18:00:09.197Z,Brisbane,Joss Whedon,37233
2017-08-21T18:00:09.526Z,Winnipeg,Joss Whedon,37233
2017-08-21T18:00:09.550Z,Calgary,Joss Whedon,37233
2017-08-21T18:00:09.570Z,Ottawa,Joss Whedon,37233
2017-08-21T18:00:09.571Z,Toronto,Joss Whedon,37233
2017-08-21T18:00:10.114Z,Sydney,Joss Whedon,37233
2017-08-21T18:00:10.453Z,Canada,Joss Whedon,37233
2017-08-21T18:00:11.584Z,Australia,Joss Whedon,37233
2017-08-21T19:00:07.880Z,Melbourne,Joss Whedon,38175
2017-08-21T19:00:08.655Z,Sydney,Joss Whedon,38175
2017-08-21T19:00:08.755Z,Adelaide,Joss Whedon,38175
2017-08-21T19:00:08.927Z,Canberra,Joss Whedon,38175
2017-08-21T19:00:09.711Z,Darwin,Joss Whedon,38175
2017-08-21T19:00:10.339Z,Brisbane,Joss Whedon,38175
2017-08-21T19:00:11.643Z,Perth,Joss Whedon,38175
2017-08-21T19:00:12.985Z,Australia,Joss Whedon,38175
2017-08-21T20:00:09.027Z,Sydney,Joss Whedon,38982
2017-08-21T20:00:10.199Z,Perth,Joss Whedon,38982
2017-08-21T20:00:10.844Z,Brisbane,Joss Whedon,38982
2017-08-21T20:00:11.888Z,Adelaide,Joss Whedon,38982
2017-08-21T20:00:11.894Z,Darwin,Joss Whedon,38982
2017-08-21T20:00:12.473Z,Melbourne,Joss Whedon,38982
2017-08-21T20:00:13.017Z,Canberra,Joss Whedon,38982
2017-08-21T20:00:14.895Z,Australia,Joss Whedon,38982
2017-08-21T21:00:08.115Z,Perth,Joss Whedon,38795
2017-08-21T21:00:08.501Z,Brisbane,Joss Whedon,38795
2017-08-21T21:00:09.961Z,Adelaide,Joss Whedon,38795
2017-08-21T21:00:10.900Z,Darwin,Joss Whedon,38795
2017-08-21T21:00:11.473Z,Melbourne,Joss Whedon,38795
2017-08-21T21:00:11.498Z,Sydney,Joss Whedon,38795
2017-08-21T21:00:11.650Z,Canberra,Joss Whedon,38795
2017-08-21T21:00:13.868Z,Australia,Joss Whedon,38795
2017-08-21T22:00:04.098Z,Toronto,Joss Whedon,37372
2017-08-21T22:00:04.316Z,Edmonton,Joss Whedon,37372
2017-08-21T22:00:04.346Z,Vancouver,Joss Whedon,37372
2017-08-21T22:00:04.749Z,Montreal,Joss Whedon,37372
2017-08-21T22:00:05.008Z,Calgary,Joss Whedon,37372
2017-08-21T22:00:05.736Z,Quebec,Joss Whedon,37372
2017-08-21T22:00:10.137Z,Ottawa,Joss Whedon,37372
2017-08-21T22:00:10.159Z,Winnipeg,Joss Whedon,37372
2017-08-21T22:00:12.797Z,Canada,Joss Whedon,37372
2017-08-21T23:00:01.763Z,Calgary,Joss Whedon,34993
2017-08-21T23:00:01.971Z,Montreal,Joss Whedon,34914
2017-08-21T23:00:02.027Z,Vancouver,Joss Whedon,34914
2017-08-21T23:00:02.195Z,Ottawa,Joss Whedon,34993
2017-08-21T23:00:03.968Z,Quebec,Joss Whedon,34914
2017-08-21T23:00:04.236Z,Toronto,Joss Whedon,34993
2017-08-21T23:00:04.978Z,Edmonton,Joss Whedon,34993
2017-08-21T23:00:05.543Z,Winnipeg,Joss Whedon,34993
2017-08-21T23:00:10.535Z,Canada,Joss Whedon,34914
2017-08-22T00:00:04.367Z,Winnipeg,Joss Whedon,31794
2017-08-22T00:00:04.438Z,Ottawa,Joss Whedon,31794
2017-08-22T00:00:04.628Z,Calgary,Joss Whedon,31794
2017-08-22T00:00:04.641Z,Quebec,Joss Whedon,31712
2017-08-22T00:00:04.660Z,Edmonton,Joss Whedon,31794
2017-08-22T00:00:04.678Z,Montreal,Joss Whedon,31712
2017-08-22T00:00:04.871Z,Toronto,Joss Whedon,31712
2017-08-22T00:00:09.543Z,Vancouver,Joss Whedon,31712
2017-08-22T00:00:12.463Z,Canada,Joss Whedon,31712
2017-08-22T01:00:02.013Z,Quebec,Joss Whedon,29364
2017-08-22T01:00:03.158Z,Calgary,Joss Whedon,29364
2017-08-22T01:00:03.268Z,Blackpool,Joss Whedon,29364
2017-08-22T01:00:03.370Z,Middlesbrough,Joss Whedon,29364
2017-08-22T01:00:03.484Z,Edmonton,Joss Whedon,29301
2017-08-22T01:00:03.780Z,Bristol,Joss Whedon,29364
2017-08-22T01:00:03.927Z,Toronto,Joss Whedon,29301
2017-08-22T01:00:03.953Z,Belfast,Joss Whedon,29301
2017-08-22T01:00:04.072Z,Ottawa,Joss Whedon,29301
2017-08-22T01:00:04.166Z,Portsmouth,Joss Whedon,29364
2017-08-22T01:00:04.367Z,Leeds,Joss Whedon,29301
2017-08-22T01:00:04.572Z,Liverpool,Joss Whedon,29364
2017-08-22T01:00:04.592Z,Sheffield,Joss Whedon,29364
2017-08-22T01:00:04.712Z,Stoke-on-Trent,Joss Whedon,29364
2017-08-22T01:00:04.877Z,Hull,Joss Whedon,29301
2017-08-22T01:00:04.957Z,Swansea,Joss Whedon,29301
2017-08-22T01:00:04.963Z,Coventry,Joss Whedon,29301
2017-08-22T01:00:05.143Z,Cardiff,Joss Whedon,29364
2017-08-22T01:00:05.168Z,Preston,Joss Whedon,29364
2017-08-22T01:00:05.239Z,Bournemouth,Joss Whedon,29364
2017-08-22T01:00:05.272Z,Manchester,Joss Whedon,29364
2017-08-22T01:00:05.443Z,Montreal,Joss Whedon,29301
2017-08-22T01:00:05.728Z,Derby,Joss Whedon,29364
2017-08-22T01:00:05.915Z,Vancouver,Joss Whedon,29301
2017-08-22T01:00:06.018Z,Newcastle,Joss Whedon,29301
2017-08-22T01:00:06.971Z,London,Joss Whedon,29301
2017-08-22T01:00:09.455Z,Nottingham,Joss Whedon,29364
2017-08-22T01:00:09.484Z,Plymouth,Joss Whedon,29364
2017-08-22T01:00:09.496Z,Winnipeg,Joss Whedon,29364
2017-08-22T01:00:09.531Z,Glasgow,Joss Whedon,29301
2017-08-22T01:00:11.235Z,Canada,Joss Whedon,29364
2017-08-22T01:00:12.538Z,United Kingdom,Joss Whedon,29364
2017-08-22T02:00:02.540Z,Winnipeg,Joss Whedon,27413
2017-08-22T02:00:02.658Z,Vancouver,Joss Whedon,27413
2017-08-22T02:00:02.876Z,Birmingham,Joss Whedon,27413
2017-08-22T02:00:02.977Z,Edmonton,Joss Whedon,27413
2017-08-22T02:00:03.197Z,Edinburgh,Joss Whedon,27450
2017-08-22T02:00:03.305Z,Bristol,Joss Whedon,27413
2017-08-22T02:00:03.406Z,Quebec,Joss Whedon,27450
2017-08-22T02:00:03.440Z,Glasgow,Joss Whedon,27450
2017-08-22T02:00:03.539Z,Calgary,Joss Whedon,27450
2017-08-22T02:00:03.602Z,Middlesbrough,Joss Whedon,27413
2017-08-22T02:00:03.725Z,Plymouth,Joss Whedon,27413
2017-08-22T02:00:03.751Z,Sheffield,Joss Whedon,27450
2017-08-22T02:00:03.861Z,Nottingham,Joss Whedon,27413
2017-08-22T02:00:03.960Z,Liverpool,Joss Whedon,27413
2017-08-22T02:00:03.985Z,Bournemouth,Joss Whedon,27413
2017-08-22T02:00:04.006Z,Coventry,Joss Whedon,27413
2017-08-22T02:00:04.084Z,Ottawa,Joss Whedon,27413
2017-08-22T02:00:04.106Z,Leicester,Joss Whedon,27413
2017-08-22T02:00:04.301Z,Brighton,Joss Whedon,27413
2017-08-22T02:00:04.467Z,Derby,Joss Whedon,27450
2017-08-22T02:00:04.517Z,Toronto,Joss Whedon,27450
2017-08-22T02:00:04.825Z,Hull,Joss Whedon,27413
2017-08-22T02:00:05.020Z,Belfast,Joss Whedon,27413
2017-08-22T02:00:05.678Z,Portsmouth,Joss Whedon,27450
2017-08-22T02:00:05.857Z,Cardiff,Joss Whedon,27450
2017-08-22T02:00:06.420Z,Stoke-on-Trent,Joss Whedon,27413
2017-08-22T02:00:06.470Z,Leeds,Joss Whedon,27450
2017-08-22T02:00:06.705Z,London,Joss Whedon,27450
2017-08-22T02:00:06.789Z,Preston,Joss Whedon,27413
2017-08-22T02:00:06.900Z,Swansea,Joss Whedon,27413
2017-08-22T02:00:09.404Z,Blackpool,Joss Whedon,27413
2017-08-22T02:00:09.415Z,Newcastle,Joss Whedon,27450
2017-08-22T02:00:09.428Z,Manchester,Joss Whedon,27413
2017-08-22T02:00:09.456Z,Montreal,Joss Whedon,27413
2017-08-22T02:00:11.803Z,Canada,Joss Whedon,27413
2017-08-22T02:00:12.586Z,United Kingdom,Joss Whedon,27413
2017-08-22T03:00:03.017Z,Bristol,Joss Whedon,25790
2017-08-22T03:00:04.723Z,Ottawa,Joss Whedon,25790
2017-08-22T03:00:04.904Z,Toronto,Joss Whedon,25816
2017-08-22T03:00:04.992Z,Stoke-on-Trent,Joss Whedon,25790
2017-08-22T03:00:05.361Z,Newcastle,Joss Whedon,25790
2017-08-22T03:00:05.449Z,Glasgow,Joss Whedon,25790
2017-08-22T03:00:05.587Z,Nottingham,Joss Whedon,25790
2017-08-22T03:00:05.847Z,Cardiff,Joss Whedon,25790
2017-08-22T03:00:06.003Z,Leicester,Joss Whedon,25816
2017-08-22T03:00:06.051Z,Leeds,Joss Whedon,25816
2017-08-22T03:00:06.213Z,Birmingham,Joss Whedon,25816
2017-08-22T03:00:06.270Z,Sheffield,Joss Whedon,25790
2017-08-22T03:00:06.304Z,Belfast,Joss Whedon,25790
2017-08-22T03:00:06.373Z,Montreal,Joss Whedon,25790
2017-08-22T03:00:06.384Z,Middlesbrough,Joss Whedon,25816
2017-08-22T03:00:06.497Z,Manchester,Joss Whedon,25816
2017-08-22T03:00:06.557Z,Coventry,Joss Whedon,25816
2017-08-22T03:00:06.610Z,Derby,Joss Whedon,25816
2017-08-22T03:00:06.717Z,Quebec,Joss Whedon,25790
2017-08-22T03:00:06.812Z,Hull,Joss Whedon,25816
2017-08-22T03:00:07.062Z,Liverpool,Joss Whedon,25790
2017-08-22T03:00:07.157Z,Edinburgh,Joss Whedon,25790
2017-08-22T03:00:07.274Z,Blackpool,Joss Whedon,25816
2017-08-22T03:00:07.393Z,Vancouver,Joss Whedon,25816
2017-08-22T03:00:07.573Z,Swansea,Joss Whedon,25816
2017-08-22T03:00:08.106Z,Winnipeg,Joss Whedon,25816
2017-08-22T03:00:08.685Z,Brighton,Joss Whedon,25816
2017-08-22T03:00:08.707Z,London,Joss Whedon,25816
2017-08-22T03:00:08.712Z,Bournemouth,Joss Whedon,25816
2017-08-22T03:00:08.723Z,Portsmouth,Joss Whedon,25816
2017-08-22T03:00:08.812Z,Preston,Joss Whedon,25816
2017-08-22T03:00:09.053Z,Edmonton,Joss Whedon,25816
2017-08-22T03:00:09.549Z,Plymouth,Joss Whedon,25816
2017-08-22T03:00:09.669Z,Calgary,Joss Whedon,25790
2017-08-22T03:00:11.167Z,United Kingdom,Joss Whedon,25790
2017-08-22T03:00:11.408Z,Canada,Joss Whedon,25816
2017-08-22T04:00:04.512Z,Edinburgh,Joss Whedon,24366
2017-08-22T04:00:05.167Z,Birmingham,Joss Whedon,24329
2017-08-22T04:00:05.381Z,Portsmouth,Joss Whedon,24366
2017-08-22T04:00:05.468Z,Winnipeg,Joss Whedon,24329
2017-08-22T04:00:05.572Z,Bristol,Joss Whedon,24329
2017-08-22T04:00:05.583Z,Toronto,Joss Whedon,24366
2017-08-22T04:00:05.669Z,Brighton,Joss Whedon,24329
2017-08-22T04:00:05.684Z,Cardiff,Joss Whedon,24366
2017-08-22T04:00:05.773Z,Middlesbrough,Joss Whedon,24366
2017-08-22T04:00:05.859Z,Bournemouth,Joss Whedon,24366
2017-08-22T04:00:05.945Z,Calgary,Joss Whedon,24366
2017-08-22T04:00:06.125Z,Swansea,Joss Whedon,24366
2017-08-22T04:00:06.210Z,Liverpool,Joss Whedon,24329
2017-08-22T04:00:06.380Z,Quebec,Joss Whedon,24329
2017-08-22T04:00:06.484Z,Sheffield,Joss Whedon,24329
2017-08-22T04:00:06.564Z,Newcastle,Joss Whedon,24366
2017-08-22T04:00:06.669Z,Stoke-on-Trent,Joss Whedon,24329
2017-08-22T04:00:07.266Z,Belfast,Joss Whedon,24366
2017-08-22T04:00:07.385Z,Montreal,Joss Whedon,24366
2017-08-22T04:00:07.488Z,Ottawa,Joss Whedon,24366
2017-08-22T04:00:07.510Z,London,Joss Whedon,24329
2017-08-22T04:00:07.526Z,Manchester,Joss Whedon,24329
2017-08-22T04:00:07.581Z,Glasgow,Joss Whedon,24329
2017-08-22T04:00:07.708Z,Preston,Joss Whedon,24366
2017-08-22T04:00:07.800Z,Blackpool,Joss Whedon,24329
2017-08-22T04:00:08.346Z,Hull,Joss Whedon,24329
2017-08-22T04:00:08.503Z,Leicester,Joss Whedon,24366
2017-08-22T04:00:08.573Z,Plymouth,Joss Whedon,24366
2017-08-22T04:00:09.169Z,Edmonton,Joss Whedon,24329
2017-08-22T04:00:09.664Z,Derby,Joss Whedon,24329
2017-08-22T04:00:09.685Z,Coventry,Joss Whedon,24329
2017-08-22T04:00:09.699Z,Nottingham,Joss Whedon,24329
2017-08-22T04:00:09.719Z,Leeds,Joss Whedon,24366
2017-08-22T04:00:09.747Z,Vancouver,Joss Whedon,24329
2017-08-22T04:00:11.445Z,United Kingdom,Joss Whedon,24366
2017-08-22T04:00:12.030Z,Canada,Joss Whedon,24329
2017-08-22T05:00:02.926Z,Birmingham,Joss Whedon,23170
2017-08-22T05:00:03.409Z,Derby,Joss Whedon,23170
2017-08-22T05:00:03.520Z,Nottingham,Joss Whedon,23170
2017-08-22T05:00:03.597Z,Preston,Joss Whedon,23170
2017-08-22T05:00:03.760Z,Montreal,Joss Whedon,23170
2017-08-22T05:00:04.025Z,Toronto,Joss Whedon,23170
2017-08-22T05:00:04.104Z,Sheffield,Joss Whedon,23170
2017-08-22T05:00:04.116Z,Stoke-on-Trent,Joss Whedon,23170
2017-08-22T05:00:04.231Z,Quebec,Joss Whedon,23141
2017-08-22T05:00:04.288Z,Manchester,Joss Whedon,23170
2017-08-22T05:00:04.369Z,Coventry,Joss Whedon,23170
2017-08-22T05:00:04.476Z,Plymouth,Joss Whedon,23170
2017-08-22T05:00:04.530Z,Bristol,Joss Whedon,23170
2017-08-22T05:00:04.604Z,Leeds,Joss Whedon,23170
2017-08-22T05:00:04.699Z,Leicester,Joss Whedon,23141
2017-08-22T05:00:04.717Z,Bournemouth,Joss Whedon,23170
2017-08-22T05:00:04.735Z,Newcastle,Joss Whedon,23170
2017-08-22T05:00:04.748Z,Belfast,Joss Whedon,23170
2017-08-22T05:00:04.760Z,Blackpool,Joss Whedon,23170
2017-08-22T05:00:04.773Z,Swansea,Joss Whedon,23141
2017-08-22T05:00:04.847Z,Vancouver,Joss Whedon,23141
2017-08-22T05:00:04.861Z,Ottawa,Joss Whedon,23141
2017-08-22T05:00:04.872Z,Edmonton,Joss Whedon,23141
2017-08-22T05:00:04.951Z,Brighton,Joss Whedon,23170
2017-08-22T05:00:05.004Z,Hull,Joss Whedon,23141
2017-08-22T05:00:05.069Z,Middlesbrough,Joss Whedon,23141
2017-08-22T05:00:05.169Z,Winnipeg,Joss Whedon,23170
2017-08-22T05:00:05.178Z,London,Joss Whedon,23170
2017-08-22T05:00:05.265Z,Calgary,Joss Whedon,23141
2017-08-22T05:00:09.906Z,Cardiff,Joss Whedon,23170
2017-08-22T05:00:09.949Z,Liverpool,Joss Whedon,23141
2017-08-22T05:00:09.987Z,Glasgow,Joss Whedon,23170
2017-08-22T05:00:10.006Z,Edinburgh,Joss Whedon,23170
2017-08-22T05:00:10.044Z,Portsmouth,Joss Whedon,23170
2017-08-22T05:00:12.214Z,Canada,Joss Whedon,23170
2017-08-22T05:00:12.798Z,United Kingdom,Joss Whedon,23141
2017-08-22T06:00:03.771Z,Birmingham,Joss Whedon,22287
2017-08-22T06:00:04.355Z,Derby,Joss Whedon,22262
2017-08-22T06:00:04.578Z,Brighton,Joss Whedon,22287
2017-08-22T06:00:04.666Z,Bristol,Joss Whedon,22262
2017-08-22T06:00:04.685Z,Leeds,Joss Whedon,22262
2017-08-22T06:00:04.704Z,Glasgow,Joss Whedon,22262
2017-08-22T06:00:04.721Z,Stoke-on-Trent,Joss Whedon,22287
2017-08-22T06:00:04.810Z,Manchester,Joss Whedon,22287
2017-08-22T06:00:04.836Z,Bournemouth,Joss Whedon,22287
2017-08-22T06:00:04.910Z,Preston,Joss Whedon,22262
2017-08-22T06:00:04.924Z,Sheffield,Joss Whedon,22262
2017-08-22T06:00:04.935Z,Winnipeg,Joss Whedon,22287
2017-08-22T06:00:05.048Z,Cardiff,Joss Whedon,22287
2017-08-22T06:00:05.056Z,Vancouver,Joss Whedon,22262
2017-08-22T06:00:05.071Z,Quebec,Joss Whedon,22262
2017-08-22T06:00:05.150Z,Portsmouth,Joss Whedon,22287
2017-08-22T06:00:05.179Z,Edmonton,Joss Whedon,22262
2017-08-22T06:00:05.213Z,Coventry,Joss Whedon,22287
